text,questionText,questionType,label,answerMs
別れを切り出すこと,初めての経験で印象的だったものは？,paragraph,genuine_high,60294
"リブート
リブートだァ",最近見て面白かった映画・ドラマ・動画は？感想も。,paragraph,genuine_mid,14367
雷獣,好きなYouTuberや配信者はいますか？,paragraph,genuine_mid,4698
信じる,運命やめぐり合わせを信じますか？,paragraph,genuine_mid,4614
いいえ,助けを求めるのは得意ですか？,paragraph,genuine_mid,6723
都会,自然と都会、どちらの旅が好きですか？,paragraph,genuine_mid,12843
旅行、ライブで国内をまわったこと,学生時代の思い出を教えてください。,paragraph,genuine_high,35812
5,人と話すのは好きですか？,scale,,2189
3,新しい技術への関心は高いですか？,scale,,4032
3,友達と何人くらいで集まるのが好きですか？,paragraph,genuine_mid,20913
なし,季節ごとに訪れたい場所はありますか？,paragraph,low_effort,5528
必要,家族のために使うお金についてどう考えますか？,paragraph,genuine_mid,7351
傘,雨の日に必ず持っていく物はありますか？,paragraph,genuine_mid,3464
なし,旅で得た学びはありますか？,paragraph,low_effort,4616
とらない,サプリや健康食品は摂りますか？,paragraph,genuine_mid,9219
飛行機,旅行の移動手段は何が好きですか？,paragraph,genuine_mid,12069
YouTube,スマホで一番よく使う機能やアプリは？,paragraph,genuine_mid,10314
なし,旅行の準備で大事にすることは？,paragraph,low_effort,6169
韓国のり,ご飯のお供は何が好きですか？,paragraph,genuine_mid,9729
カルピス,飲み物の好みを教えてください。,paragraph,genuine_mid,5267
値段,店やサービスを選ぶ決め手は何ですか？,paragraph,genuine_mid,4535
受験,人生の転機になった出来事はありますか？,paragraph,genuine_mid,6601
なるべく安く,旅先での食事はどう楽しみますか？,paragraph,genuine_high,13449
切り詰める,旅行の予算はどう決めますか？,paragraph,genuine_high,10135
しない,中古品やリユースは利用しますか？,paragraph,low_effort,3368
使わない,ポイントやクーポンはどう使っていますか？,paragraph,low_effort,6648
飯,旅先での一番の楽しみは何ですか？,paragraph,genuine_mid,5100
4,人と話すのは好きですか？,scale,,2168
4,買い物は計画的なほうですか？,scale,,3565
Claude,効率を上げるために使っているツールはありますか？,paragraph,genuine_mid,11050
ない,思わず笑ってしまった失敗談は？,paragraph,low_effort,168691
小学校の先生 毎日怒っててかっこいい！,尊敬する人や憧れの人はいますか？理由も教えてください。,paragraph,,18069
山口県,これまでで一番良かった旅行先は？,paragraph,genuine_mid,8989
あります！左右分割キーボードが気になっています,新しいガジェットに興味はありますか？,paragraph,genuine_high,9587
目的はない,何のために働く・生きると思いますか？,paragraph,low_effort,174731
いない,久しぶりに会いたい人はいますか？,paragraph,low_effort,6683
"リブート
主題歌が流れるタイミングが毎回神",最近見て面白かった映画・ドラマ・動画は？感想も。,paragraph,genuine_high,24938
欲しいけど自分のお金では買わないものを選んでいます,プレゼント選びで大事にすることは？,paragraph,genuine_high,21228
馬を水辺に連れて行くことはできても水を飲ませることはできない,仕事で印象に残っている言葉はありますか？,paragraph,off_topic,320640
昭和記念公園,地元の自慢できることは何ですか？,paragraph,genuine_high,14206
ご飯と味噌汁,朝食の定番メニューは？,paragraph,,4735
ラーメン未來のネギ味噌ラーメン,麺類で一番好きなものは？,paragraph,genuine_high,16452
ない,最近うれしかった出来事を教えてください。,paragraph,low_effort,22935
メガネ,旅行に必ず持っていくものは？,paragraph,genuine_mid,2952
調べまくり,買い物で失敗しないコツはありますか？,paragraph,genuine_mid,4866
ない,苦手な食べ物はありますか？,paragraph,low_effort,2167
0時までに絶対に寝る,最近変えた生活習慣はありますか？,paragraph,genuine_high,4919
4,全体的な生活の満足度を教えてください。,scale,,4015
5,普段どのくらい忙しいですか？,scale,,2182
朝起きてからの洗顔です,毎日欠かさずやっていることは何ですか？,paragraph,genuine_high,1956049
努力をして結果を出すことです,あなたにとって「成功」とは何ですか？,paragraph,genuine_high,10644
品質,値段と品質、どちらを重視しますか？,paragraph,genuine_mid,7113
山登り,やってみたいけど未挑戦の趣味はありますか？,paragraph,genuine_mid,11202
ブルーベリーを食べること,自分なりのちょっとした習慣やこだわりはありますか？,paragraph,genuine_high,8749
月１,オンラインショッピングの頻度は？,paragraph,genuine_mid,5445
そもそもそれが必要でないし，他社が安いから,解約や乗り換えを決めた理由は？,paragraph,genuine_high,21088
相手上げ顔になっていることを想像すること,プレゼント選びで大事にすることは？,paragraph,genuine_high,11532
腸がよくなるものをとります,サプリや健康食品は摂りますか？,paragraph,genuine_high,15945
距離をとりすぎず，近すぎずで付き合う,仲のいい友人とはどう付き合っていますか？,paragraph,genuine_high,17908
実際にあって説得する,あるサービスを友人にすすめるなら、どう説明しますか？,paragraph,genuine_high,12209
得意じゃない,人の相談に乗るのは得意ですか？,paragraph,genuine_mid,4428
規制がないこと,自由とは何だと思いますか？,paragraph,genuine_high,6451
身長，視力,健康診断の結果で気にすることは？,paragraph,genuine_mid,8858
最近のAI事情について,友人とよくする話題は何ですか？,paragraph,genuine_high,11947
コスメ,自分へのご褒美に何を買いますか？,paragraph,genuine_mid,100134
ないです,肩こりや疲れ目の対策はありますか？,paragraph,low_effort,5685
お茶の水のさいぜ,日帰りで行ける好きな場所はありますか？,paragraph,genuine_high,19649
3,最近の気分はどうですか？,scale,,2966
4,普段どのくらい忙しいですか？,scale,,4818
特にないです,後輩や子どもに語りたい経験はありますか？,paragraph,low_effort,9345
モバイル充電器、洗面用具,旅行に必ず持っていくものは？,paragraph,genuine_mid,18250
なるべく色んな情報が集まってから慎重に買う派です,新商品はすぐ試すほうですか？,paragraph,genuine_high,35833
ありがとう,人に言われて嬉しかった言葉は？,paragraph,genuine_mid,39463
スマホフィルム,定期的に買い替えるものはありますか？,paragraph,genuine_mid,716034
よく笑うほうです、きっかけはわかりません,よく笑うほうですか？きっかけは？,paragraph,genuine_high,17928
自然の旅が好きです,自然と都会、どちらの旅が好きですか？,paragraph,genuine_high,10684
掃除機は好きです、楽だからです。汚れてるところの清掃が嫌いです、潔癖症だからです。,家事の中で好きなもの・嫌いなものは何ですか？,paragraph,genuine_high,28516
7時間ほどです,スマホを見る時間は1日どのくらいですか？,paragraph,genuine_mid,5287
やってみたいとは思います,一人旅は好きですか？,paragraph,genuine_mid,8775
Youtubeです,動画配信サービスは何を使っていますか？,paragraph,genuine_mid,3857
体が悪い時に行きます,病院や検診には行きますか？,paragraph,genuine_mid,8432
音楽の趣味を通じて沢山友人ができました,趣味を通じてできた友人はいますか？,paragraph,genuine_high,13213
双方の意見を聞き、中立的な案を出し解決します,喧嘩や意見の対立はどう解決しますか？,paragraph,genuine_high,15634
好きです,温泉やリゾートは好きですか？,paragraph,genuine_mid,3846
あります,将来について考えることはありますか？,paragraph,genuine_mid,2319
教育です,お金をかける価値があると思うものは何ですか？,paragraph,genuine_mid,7837
長所は集中力があります、短所はたまに全体を見失います,自分の長所と短所を教えてください。,paragraph,genuine_high,59996
4,人と話すのは好きですか？,scale,,3790
4,全体的な生活の満足度を教えてください。,scale,,2100
定額を毎月貯金するべき,お金について家族から学んだことはありますか？,paragraph,genuine_high,797065
Jpopを毛嫌いしていたが意外といい歌詞の曲もある,最近、考えが変わったことはありますか？,paragraph,genuine_high,23663
体重が軽めなので増えていないか期待する,健康診断の結果で気にすることは？,paragraph,genuine_high,10297
満足いく生活を送ること,あなたにとって「成功」とは何ですか？,paragraph,genuine_high,11600
部屋に置くものを減らす,部屋を片付けるのは得意ですか？工夫があれば教えてください。,paragraph,genuine_high,44276
資格試験を受験したい,これからの人生で挑戦したいことは？,paragraph,genuine_high,67252
手洗いうがい,風邪をひかない工夫はありますか？,paragraph,genuine_high,6373
入る。しばしば楽しんで行っていることだから,旅行も趣味に入りますか？,paragraph,genuine_high,14609
得意。人の悪い面は口に出さない,人を褒めるのは得意ですか？,paragraph,genuine_high,16825
カルボナーラは作りやすくて好き,よく食べる、またはよく作る料理を教えてください。,paragraph,genuine_high,22951
実現可能性を考えずに高く設定する,目標を立てるとき意識していることは？,paragraph,genuine_high,22381
冬はすき焼き,季節ごとに食べたくなるものは？,paragraph,genuine_mid,15610
利用しなくなったと感じたら解約する。あまり乗り換えはしない,解約や乗り換えを決めた理由は？,paragraph,genuine_high,16390
書いたことがない,口コミを書くのはどんなときですか？,paragraph,low_effort,5297
人と喋ったりご飯に行く,仕事終わりのリセット方法はありますか？,paragraph,genuine_high,10997
後輩から旅行の土産を多くもらった,最近うれしかった出来事を教えてください。,paragraph,genuine_high,20006
両方使って比較,調べ物はネット検索とAI、どちらを使いますか？,paragraph,genuine_high,9534
あまり節約はしない。満足いくまで何事も金をかける,逆に、ここは節約するというものはありますか？,paragraph,genuine_high,76577
5,自分は楽観的なほうだと思いますか？,scale,,1928
3,普段どのくらい忙しいですか？,scale,,2262
"食べない
食べるならおにぎり一個とか",朝食は食べますか？どんな内容ですか？,paragraph,genuine_high,12798
そんな変わらない,平日と休日で生活リズムは変わりますか？,paragraph,genuine_mid,21442
"ある
けど高い金を払うまでではない",新しいガジェットに興味はありますか？,paragraph,genuine_high,43334
"生きていく上で積み重なっていくもの
内言が滲み出すもの",自分らしさとは何だと思いますか？,paragraph,genuine_high,45182
金,集めているものはありますか？,paragraph,genuine_mid,14646
親、中学から6年ぐらい見続けたYouTuber,自分の価値観に影響を与えた人はいますか？,paragraph,genuine_high,36578
バナナ,冷蔵庫に常備しているものは？,paragraph,genuine_mid,9703
三つ,目覚ましはいくつセットしますか？,paragraph,genuine_mid,3862
"歌詞に意味が詰まっているもの
聞けば聞くほど気付きがある曲",好きな音楽のジャンルやアーティストは？,paragraph,off_topic,39306
運動会,学生時代の思い出を教えてください。,paragraph,genuine_mid,11398
行かない人に言われて初めて,病院や検診には行きますか？,paragraph,genuine_high,11585
自分の思い通りに行動できたとき、制御できたとき、帰り道で空を見るとき,幸せを感じるのはどんなときですか？,paragraph,genuine_high,53052
自分が置いていかれること,逆に、テクノロジーで不便・不安に感じることは？,paragraph,genuine_high,15244
余裕,自由とは何だと思いますか？,paragraph,genuine_mid,30338
嫌いじゃない,旅行の計画を立てるのは好きですか？,paragraph,genuine_mid,5210
一人カラオケ,休日にハマっていることは何ですか？,paragraph,genuine_mid,9253
スーパー,食材の買い出しはどこでしますか？,paragraph,genuine_mid,6524
安牌あとは気持ち,プレゼント選びで大事にすることは？,paragraph,genuine_high,20187
4,普段どのくらい忙しいですか？,scale,,5757
2,買い物は計画的なほうですか？,scale,,2379
Twitter,SNSは何を使っていますか？,paragraph,genuine_mid,435910
googleフォトとか,写真や動画はどう保存していますか？,paragraph,genuine_mid,20777
連絡を怠らない,人付き合いで大事にしているルールは？,paragraph,genuine_mid,11319
日頃の感謝,大切な人に伝えたいことはありますか？,paragraph,genuine_mid,7639
カラオケ,一人で楽しむ趣味、みんなで楽しむ趣味はありますか？,paragraph,genuine_mid,4310
睡眠,自分にとって大切なものは何ですか？,paragraph,genuine_mid,5008
食費,毎月必ず使うお金の使い道は？,paragraph,genuine_mid,6174
最低限のコミュニケーションは取りつつ、基本距離を置く,苦手な人とはどう付き合いますか？,paragraph,genuine_high,17740
使いやすい,使い続けているアプリの良い点は？,paragraph,genuine_mid,13332
PC かなり満足,最近した大きな買い物と、その満足度は？,paragraph,genuine_mid,20083
特になし,最近買い替えた日用品はありますか？,paragraph,low_effort,6674
特になし,趣味を通じてできた友人はいますか？,paragraph,low_effort,11913
ちょっとした変わり種,旅先で買うお土産はどう選びますか？,paragraph,genuine_mid,13664
紅茶,コーヒー派ですか紅茶派ですか？こだわりも。,paragraph,low_effort,5207
ハンバーガー,最近食べて感動したものはありますか？,paragraph,genuine_mid,233992
ない,広告を見て実際に買った経験はありますか？,paragraph,low_effort,2844
うまく歌えた,最近うれしかった出来事を教えてください。,paragraph,genuine_mid,121348
歌う,平日のストレス解消法を教えてください。,paragraph,genuine_mid,96463
5,全体的な生活の満足度を教えてください。,scale,,2397
3,買い物は計画的なほうですか？,scale,,1896
なし,ブランドへのこだわりはありますか？,paragraph,low_effort,3507
思う,努力は報われると思いますか？,paragraph,low_effort,3541
空飛ぶ車,テクノロジーの進化で楽しみなことは？,paragraph,genuine_mid,14928
3〜6,友達と何人くらいで集まるのが好きですか？,paragraph,genuine_mid,15959
こっちからは話しかけない,距離を置きたい人とはどう接しますか？,paragraph,genuine_high,14878
歌う,お金をかけずに楽しめる趣味は？,paragraph,genuine_mid,4681
めっちゃちゃんと歯を磨く,朝のコンディションを整える方法は？,paragraph,genuine_high,17123
出さない神レポより出すゴミレポ,締め切りにはどう向き合いますか？,paragraph,genuine_high,22798
香港で撮った落雷の瞬間,思い出に残っている風景はありますか？,paragraph,genuine_high,14644
ある,困ったときに人に助けられた経験はありますか？,paragraph,low_effort,2612
特になし,最近「改善してほしい」と感じた商品・サービスは？具体的に。,paragraph,,34912
きのこ、納豆、えびなどなど,苦手な食べ物はありますか？,paragraph,,21083
大人数での初対面は意外と苦手。勇気を出して声をかける,人見知りですか？克服法はありますか？,paragraph,genuine_high,43238
野球の選手名鑑は毎年集めてる,コレクションや推し活にかける情熱について教えてください。,paragraph,genuine_high,19138
車,旅行の移動手段は何が好きですか？,paragraph,genuine_mid,4642
日による,水分はどのくらい摂りますか？,paragraph,low_effort,12914
知りません,自分らしさとは何だと思いますか？,paragraph,low_effort,5008
その日にやるべきことを考える,通勤や通学で工夫していることはありますか？,paragraph,genuine_high,15293
5,人と話すのは好きですか？,scale,,4079
4,普段どのくらい忙しいですか？,scale,,1547
バナナとヨーグルト,朝食は食べますか？どんな内容ですか？,paragraph,genuine_mid,12163
備えあれば憂いなし,旅行の準備で大事にすることは？,paragraph,genuine_mid,14200
はい,価格設定について思うことはありますか？,paragraph,low_effort,5157
得意でない。,部屋を片付けるのは得意ですか？工夫があれば教えてください。,paragraph,low_effort,8359
あまりない,趣味の時間は週にどのくらいですか？,paragraph,,7595
使わない,キャッシュレス決済は使いますか？どれを使いますか？,paragraph,low_effort,3866
一日中2L目安,水分はどのくらい摂りますか？,paragraph,genuine_mid,9336
はい,子どもの頃の趣味は今も続いていますか？,paragraph,genuine_mid,2587
ラーメン,麺類で一番好きなものは？,paragraph,genuine_mid,3636
はい、ですがありません,人見知りですか？克服法はありますか？,paragraph,genuine_mid,7561
いいえ,推し(好きな人物やキャラ)はいますか？,paragraph,low_effort,5166
はい,最近感動した作品はありますか？,paragraph,low_effort,3447
はい,おやつや間食はしますか？,paragraph,low_effort,2610
はい,将来について考えることはありますか？,paragraph,low_effort,1870
ありません,効率を上げるために使っているツールはありますか？,paragraph,low_effort,3836
U-NEXT、高いから,サブスクを解約した経験は？理由も。,paragraph,genuine_high,12016
はい,病院や検診には行きますか？,paragraph,,2033
ご飯を食べて寝る,仕事終わりのリセット方法はありますか？,paragraph,genuine_high,9191
3,全体的な生活の満足度を教えてください。,scale,,3748
4,自分は楽観的なほうだと思いますか？,scale,,2269
生成ai,効率を上げるために使っているツールはありますか？,paragraph,genuine_mid,7988
接客の態度,店やサービスを選ぶ決め手は何ですか？,paragraph,genuine_mid,12954
いきます,病院や検診には行きますか？,paragraph,genuine_mid,3885
飲み物を忘れたときにコンビニで買うお茶,「無駄遣いだった」と思う出費はありますか？,paragraph,genuine_high,33372
めっちゃ参考にする,買う前に口コミをどのくらい参考にしますか？,paragraph,genuine_mid,6138
よく寝る,自分を癒すためにすることは？,paragraph,genuine_mid,10384
あまりない,体力に自信はありますか？,paragraph,genuine_mid,4008
gemini 最近は微妙だけど，惰性で使っている,サブスクで契約しているものと、その満足度は？,paragraph,genuine_high,20055
インドア,アウトドアとインドア、どちら派ですか？,paragraph,genuine_mid,5170
なるべく客観的な立場に立ち返って，現実的な妥協ラインを考える,喧嘩や意見の対立はどう解決しますか？,paragraph,genuine_high,35397
連絡のない遅刻が続くのは許しがたい,許せること、許せないことはありますか？,paragraph,genuine_high,61098
大人数の初対面は苦手です．頑張って話しかけにいくのが大事だと思います,人見知りですか？克服法はありますか？,paragraph,genuine_high,27378
特になし,自分なりのちょっとした習慣やこだわりはありますか？,paragraph,low_effort,62041
ストレッチ,肩こりや疲れ目の対策はありますか？,paragraph,genuine_mid,7860
笑うほうです．,よく笑うほうですか？きっかけは？,paragraph,low_effort,21908
あまり得意じゃないです．めっちゃ散らかってます,部屋を片付けるのは得意ですか？工夫があれば教えてください。,paragraph,genuine_mid,14405
します,ふるさと納税やポイント投資はしますか？,paragraph,genuine_mid,3552
レポートを提出し終わったとき,今の仕事や勉強でやりがいを感じる瞬間はどんなときですか？,paragraph,genuine_high,46448
5,新しい技術への関心は高いですか？,scale,,2105
4,新しいものを試すのは好きですか？,scale,,2560
geminiの利用制限,最近「改善してほしい」と感じた商品・サービスは？具体的に。,paragraph,genuine_mid,18316
早め早めに取り組んで余裕を持って提出する,締め切りにはどう向き合いますか？,paragraph,genuine_high,28845
入る,旅行も趣味に入りますか？,paragraph,genuine_mid,3131
ある,誰かのために頑張った経験はありますか？,paragraph,genuine_mid,3478
30分くらい？,朝の準備にかかる時間と、短縮の工夫はありますか？,paragraph,low_effort,43232
だらだらスマホ見たり，歌ったりしてます,一人の時間はどのように使いますか？,paragraph,,14144
コンタクトレンズ,まとめ買いするものはありますか？,paragraph,genuine_mid,9511
自分からは話しかけない,苦手な人とはどう付き合いますか？,paragraph,genuine_high,8716
お金がない時の昼ご飯,安さを重視して選ぶものは何ですか？,paragraph,genuine_high,40248
定期的に連絡を取るし，会う時間を作る,仲のいい友人とはどう付き合っていますか？,paragraph,genuine_high,20470
たまに見ます,アニメや特撮は見ますか？,paragraph,genuine_mid,4455
"ない？かも
そもそもあまりサブスクを契約しない",サブスクを解約した経験は？理由も。,paragraph,low_effort,22900
aiをふんだんに用いる,作業を効率化するために工夫していることはありますか？,paragraph,genuine_high,8251
使いません,デリバリーはよく使いますか？,paragraph,genuine_mid,6159
仙台の牛タン,ご当地グルメで好きなものは？,paragraph,genuine_high,10947
気を付けていないことが多いですけど，気をつけたほうがいいとは思ってます,姿勢に気をつけていますか？,paragraph,genuine_high,18290
現物を自分の目で確かめる,買い物で失敗しないコツはありますか？,paragraph,genuine_high,21382
使っていません,スマートホーム機器は使っていますか？,paragraph,genuine_mid,19511
5,新しい技術への関心は高いですか？,scale,,1623
3,買い物は計画的なほうですか？,scale,,2247
オフライン,オンラインとオフライン、どちらが快適ですか？,paragraph,genuine_mid,6822
院進するか就職するかで迷いました,転職や進路で迷った経験はありますか？,paragraph,genuine_high,26170
人とたくさん話して笑っているとき,心身の調子が良いと感じるのはどんな日ですか？,paragraph,genuine_high,17694
言葉選びを慎重におこなって，地雷を踏まないようにする,人を励ますときに心がけていることは？,paragraph,genuine_high,20051
スマート日調,「これは画期的」と思ったサービスは？,paragraph,genuine_mid,35388
箱根,近場でおすすめのお出かけ先は？,paragraph,genuine_mid,19046
おいしいものを食べて，歌う,気持ちが落ち込んだときはどうしますか？,paragraph,genuine_high,15791
飲み物を持参する,節約のために続けている習慣はありますか？,paragraph,genuine_high,26432
30分くらい,朝の準備にかかる時間と、短縮の工夫はありますか？,paragraph,low_effort,44693
会議をオンラインとかにすると，移動時間が無くなって時短だなーって思ったりします,デジタルで時短できていることはありますか？,paragraph,genuine_high,43509
イヤホン,高くても良いと思える商品はありますか？,paragraph,genuine_mid,5779
上げます,不満を感じたとき、声を上げるほうですか？,paragraph,genuine_mid,4897
10分くらい寝る,休憩の取り方に工夫はありますか？,paragraph,genuine_high,9183
特になし,趣味に使う道具でこだわっているものは？,paragraph,low_effort,11007
都会,自然と都会、どちらの旅が好きですか？,paragraph,genuine_mid,4719
ない,集めているものはありますか？,paragraph,low_effort,13228
学生会館の部屋予約システム,改善されたら嬉しい身近なサービスは？,paragraph,genuine_high,23729
将来性ありそうって思った,今の職業や専攻を選んだ理由を教えてください。,paragraph,genuine_mid,10111
5,人と話すのは好きですか？,scale,,1841
5,全体的な生活の満足度を教えてください。,scale,,1588
かわいい動物のショート動画を見る,自分を癒すためにすることは？,paragraph,genuine_high,15498
父親が野球やっててその影響で小学校のときに野球を始めた,運動を始めたきっかけはありますか？,paragraph,genuine_high,21915
10分寝るか，ちょっと散歩する,集中が切れたときの対処法は？,paragraph,genuine_high,20015
twitter,スマホで一番よく使う機能やアプリは？,paragraph,genuine_mid,17616
ポンデリング,最近ハマった食べ物や飲み物はありますか？,paragraph,genuine_mid,18017
不安な要素を列挙して1個1個冷静に考える,不安なときの対処法を教えてください。,paragraph,genuine_high,44554
視野が広い人,理想の自分像はありますか？,paragraph,genuine_high,19136
意見をまとめたりするのが得意なので，サークルとかでは日程調整や練習の進行役を積極的にやっています,自分の強みを仕事にどう活かしていますか？,paragraph,genuine_high,80726
松屋,外食でよく行くお店はどこですか？,paragraph,genuine_mid,7749
おいしいものを食べたとき,幸せを感じるのはどんなときですか？,paragraph,genuine_mid,8767
ガクセイ協賛のアプリを定期的に見る,自分なりのちょっとした習慣やこだわりはありますか？,paragraph,genuine_high,19775
musescore,使ってよかったアプリはありますか？,paragraph,genuine_mid,20529
アイスの値段が200円くらいになっていてびっくりしました,価格設定について思うことはありますか？,paragraph,genuine_high,47983
あります,困ったときに人に助けられた経験はありますか？,paragraph,low_effort,4829
はい,人に流されやすいほうですか？,paragraph,genuine_mid,3083
スピーカー,お金が貯まったら何に使いたいですか？,paragraph,genuine_mid,23506
断り切れずに参加した飲み会,「無駄遣いだった」と思う出費はありますか？,paragraph,genuine_high,38422
aiに聞く,作業を効率化するために工夫していることはありますか？,paragraph,genuine_mid,6731
3,買い物は計画的なほうですか？,scale,,1983
5,新しい技術への関心は高いですか？,scale,,1827
大好きです,温泉やリゾートは好きですか？,paragraph,genuine_mid,5346
日頃の感謝,大切な人に伝えたいことはありますか？,paragraph,genuine_high,5988
サービスのクオリティ,店やサービスを選ぶ決め手は何ですか？,paragraph,genuine_high,28597
人と競い合うことで能力を高めることができると思います,競争についてどう感じますか？,paragraph,genuine_high,34799
全然料理しません,料理を覚えたきっかけは？,paragraph,low_effort,9019
めっちゃ寝る,休日の朝はどのように過ごしますか？,paragraph,genuine_mid,5938
特になし,最近変えた生活習慣はありますか？,paragraph,low_effort,19651
立ち上がって部屋を1周する,集中が切れたときの対処法は？,paragraph,genuine_high,16795
ない,仕事で印象に残っている言葉はありますか？,paragraph,low_effort,5543
大好きです．コブクロの蕾,カラオケは好きですか？十八番は？,paragraph,genuine_high,28534
わからん,生活の中で「これは譲れない」ことはありますか？,paragraph,,63307
完全に集中が切れる前に休憩をとる,休憩の取り方に工夫はありますか？,paragraph,genuine_high,16174
コンタクトレンズ,まとめ買いするものはありますか？,paragraph,genuine_mid,18461
サングラス．眩しい時が多いから．あとおしゃれ,最近「これは買ってよかった」と思ったものは？理由も教えてください。,paragraph,genuine_high,43309
twitter，インスタ，bereal,SNSは何を使っていますか？,paragraph,genuine_mid,19065
水,冷蔵庫に常備しているものは？,paragraph,genuine_mid,10218
麦苗のラーメンとネギトロ丼,最後の晩餐に何を食べたいですか？,paragraph,genuine_mid,19620
上げます,不満を感じたとき、声を上げるほうですか？,paragraph,genuine_mid,4598
5,全体的な生活の満足度を教えてください。,scale,,1645
5,人と話すのは好きですか？,scale,,1364
オフライン,オンラインとオフライン、どちらが快適ですか？,paragraph,genuine_mid,6709
大好きです,食べ放題やビュッフェは好きですか？,paragraph,genuine_mid,3802
得意じゃないです,部屋を片付けるのは得意ですか？工夫があれば教えてください。,paragraph,low_effort,4924
抹茶オレ,カフェでよく頼むものは？,paragraph,genuine_high,17789
ない,企業の対応で印象が変わった経験は？,paragraph,low_effort,7618
LINEの返信,朝一番にやる仕事や勉強は何ですか？,paragraph,genuine_mid,13445
父親が野球やっててそれ見て始めた,運動を始めたきっかけはありますか？,paragraph,genuine_high,34800
使ってない,スマートホーム機器は使っていますか？,paragraph,genuine_mid,5466
3つ上のサークルの先輩,尊敬している身近な人はいますか？,paragraph,genuine_high,13954
あります,デジタルで時短できていることはありますか？,paragraph,,7333
気を付けています,姿勢に気をつけていますか？,paragraph,genuine_mid,7078
夏に海,季節ごとに訪れたい場所はありますか？,paragraph,genuine_mid,328417
たくさん摂ります,水分はどのくらい摂りますか？,paragraph,genuine_mid,11652
春は花粉症がひどいので目薬や点鼻がルーティンになります,季節ごとに変わる習慣はありますか？,paragraph,genuine_high,36533
財力,あなたにとっての「豊かさ」とは？,paragraph,genuine_mid,5871
ない,最近買い替えた日用品はありますか？,paragraph,low_effort,3836
浅草,住んでみたい街はありますか？,paragraph,genuine_mid,39278
飲み物を持参する,節約のために続けている習慣はありますか？,paragraph,genuine_mid,20725
3,最近の気分はどうですか？,scale,,2909
5,新しいものを試すのは好きですか？,scale,,1860
人生楽しそう,人に言われて嬉しかった言葉は？,paragraph,genuine_high,63761
受験,人生の転機になった出来事はありますか？,paragraph,genuine_mid,15641
紅茶派です．コーヒーはあまり得意じゃないです,コーヒー派ですか紅茶派ですか？こだわりも。,paragraph,genuine_high,15648
やりたいことをとことんやる,理想の生き方はありますか？,paragraph,genuine_high,12337
ない,ブランドへのこだわりはありますか？,paragraph,low_effort,2370
時間,お金と時間、どちらが大事だと思いますか？,paragraph,genuine_mid,4035
自分の考えの軸を持つこと,自分らしさとは何だと思いますか？,paragraph,genuine_high,28588
カードを入れる場所,財布やカバンの中身でこだわっていることはありますか？,paragraph,genuine_high,16210
結果を残す,あなたにとって「成功」とは何ですか？,paragraph,genuine_high,23411
福岡で3軒ハシゴしたこと,思い出の旅のエピソードはありますか？,paragraph,genuine_high,58291
